source,target,avg_finished_duration,avg_finished_path_length,avg_rating,failure_rate,avg_unfinished_duration,avg_unfinished_path_length,difficulty_score,shortest_path_length,semantic_distance
Anaconda,Nutrition,165.0,8.0,,0.0,,,0.1,3.0,0.47
Anaconda,Volga_River,41.0,4.0,,0.0,,,0.04,3.0,0.49
Anaconda,Macau,31.0,4.0,1.0,0.0,,,0.04,2.0,0.48
Anaconda,Computer_and_video_games,89.0,6.0,1.0,0.0,,,0.07,3.0,0.43
Anaconda,Agnosticism,143.9,6.4,2.0,0.17,146.5,4.0,0.12,2.0,0.43
Anaconda,London_Bridge,165.5,8.0,3.0,0.0,,,0.1,4.0,0.49
Anaconda,Nitrification,299.0,11.0,2.0,0.0,,,0.16,3.0,0.44
Anaconda,Passenger_Pigeon,70.0,4.0,4.0,0.0,,,0.05,2.0,0.5
Ancient_Greece,English_language,70.0,4.0,3.0,0.0,,,0.05,2.0,0.26
Ancient_Greece,Mediterranean_Sea,50.0,5.0,1.0,0.0,,,0.05,2.0,0.26
Ancient_Greece,Albert_Einstein,252.0,6.0,2.5,0.0,,,0.11,2.0,0.19
Ancient_Greece,Adolf_Hitler,113.0,4.0,1.0,0.0,,,0.06,2.0,0.26
Ancient_Greece,6th_century,13.0,3.0,1.0,0.0,,,0.03,2.0,0.33
Ancient_Greece,Flute,33.0,4.0,2.0,0.0,,,0.04,3.0,0.47
Ancient_Greece,Lemon_balm,194.0,6.0,3.0,0.0,,,0.09,3.0,0.26
Animal,Dog,153.33,5.67,2.5,0.7,234.29,3.43,0.22,3.0,0.22
Animal,Apostolic_Succession,233.0,11.0,,0.5,97.0,6.0,0.24,3.0,0.43
Animal,African_Union,122.25,5.75,2.5,0.0,,,0.07,3.0,0.45
Animal,Sound,210.67,7.67,2.0,0.0,,,0.11,3.0,0.35
Animal,Eastern_Orthodox_Church,73.0,5.4,1.67,0.0,,,0.06,3.0,0.47
Animal,Mackenzie_River,194.0,6.0,,0.0,,,0.09,3.0,0.42
Animal,Matilda_of_Boulogne,566.0,20.0,,0.0,,,0.29,5.0,0.45
Animal,Shelduck,171.0,5.0,2.0,0.0,,,0.08,3.0,0.45
Animation,Integrated_circuit,75.0,5.0,2.0,0.0,,,0.06,2.0,0.44
Animation,Stage_(theatre),129.0,7.0,,0.0,,,0.09,5.0,0.4
Animation,Wall_Street,179.33,8.67,3.0,0.25,169.0,12.0,0.16,3.0,0.41
Animation,Edible_salt,241.0,6.0,,0.0,,,0.1,4.0,0.42
Animation,Adam_Smith,165.0,5.0,,0.0,,,0.08,3.0,0.45
Animation,Eurasian_Eagle_Owl,113.0,8.5,,0.33,372.0,8.0,0.16,5.0,0.44
Animation,Somalia,40.0,4.0,1.0,0.0,,,0.04,3.0,0.47
Animation,William_III_of_England,176.0,6.0,3.0,0.0,,,0.09,4.0,0.45
Animation,Zebra,98.5,5.75,1.0,0.0,,,0.07,3.0,0.44
Anne_Frank,English_language,25.0,4.0,,0.0,,,0.04,2.0,0.38
Anne_Frank,Latin_America,118.33,6.0,1.0,0.25,31.0,2.0,0.13,2.0,0.37
Anne_Frank,Saturn_V,142.0,4.0,1.0,0.0,,,0.06,3.0,0.34
Anne_Frank,Greek_mythology,131.0,5.0,2.0,0.0,,,0.07,3.0,0.34
Anne_Frank,Ireland,76.88,5.5,1.5,0.0,,,0.06,2.0,0.42
Anne_Frank,Adolf_Hitler,9.0,2.0,,0.0,,,0.02,1.0,0.35
Anne_Frank,Louis_Jordan,78.0,6.0,3.0,0.0,,,0.07,3.0,0.31
Anne_Frank,Continental_crust,64.0,7.0,,0.0,,,0.07,3.0,0.35
Anne_Frank,Thorium,87.0,6.0,3.0,0.0,,,0.07,3.0,0.5
Ant,Gold,71.75,4.75,1.0,0.2,56.0,3.0,0.09,2.0,0.42
